title,authors,average_rating,ratings_count,length_category,is_series,series_name,series_position,language_code,publication_date,review_engagement,popularity_category
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,45,Unknown,True,The Power of One,1.0,eng,9/13/2005,0.28888888888888886,Unknown
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,16,Unknown,False,Standalone,,en-US,11/1/2004,0.0625,Unknown
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,174,Unknown,False,Standalone,,eng,5/19/2006,0.09195402298850575,Niche
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,10,Unknown,False,Standalone,,eng,2/7/2000,0.0,Unknown
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,76,Unknown,False,Standalone,,eng,5/3/2005,0.11842105263157894,Unknown
eBay for Dummies,Marsha Collier,3.5,111,Unknown,False,Standalone,,eng,10/30/2006,0.08108108108108109,Niche
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,24,Unknown,False,Standalone,,eng,1/24/2006,0.0,Unknown
Starting an eBay Business for Dummies,Marsha Collier,3.55,55,Unknown,False,Standalone,,eng,9/17/2004,0.07272727272727272,Unknown
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,9,Unknown,False,Standalone,,eng,6/6/2006,0.0,Unknown
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,22,Unknown,False,Standalone,,en-US,5/31/2004,0.045454545454545456,Unknown
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,17,Unknown,False,Standalone,,en-US,4/25/2005,0.17647058823529413,Unknown
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,166,Unknown,False,Standalone,,eng,7/29/2006,0.024096385542168676,Niche
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,50,Unknown,False,Standalone,,eng,5/3/2005,0.1,Unknown
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,13,Unknown,False,Standalone,,eng,5/3/2005,0.15384615384615385,Unknown
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,64,Unknown,False,Standalone,,eng,1/1/2007,0.015625,Unknown
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,16643,Unknown,False,Standalone,,eng,5/31/2004,0.11121792945983296,Popular
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,109420,Unknown,False,Standalone,,eng,11/5/2002,0.05205629683787242,Bestseller
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,2904,Unknown,False,Standalone,,eng,1/30/2003,0.10640495867768596,Modest
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,16,Unknown,False,Standalone,,eng,11/26/1965,0.1875,Unknown
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,9564,Unknown,False,Standalone,,eng,7/1/2003,0.07590966122961104,Modest
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,474,Unknown,False,Standalone,,eng,11/23/2004,0.1518987341772152,Niche
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,303,Unknown,False,Standalone,,eng,8/26/2004,0.15841584158415842,Niche
Dinner with Anna Karenina,Gloria Goldreich,2.99,411,Unknown,False,Standalone,,eng,1/28/2006,0.15815085158150852,Niche
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,1204,Unknown,False,Standalone,,eng,11/26/1987,0.027408637873754152,Modest
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,3429,Unknown,False,Standalone,,eng,7/3/1990,0.08136482939632546,Modest
The Untouchable,John Banville,3.95,2163,Unknown,False,Standalone,,eng,6/30/1998,0.09986130374479889,Modest
The Untouchables,Eliot Ness/Oscar Fraley,3.89,613,Unknown,False,Standalone,,eng,2/1/1996,0.05057096247960848,Niche
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,308,Unknown,False,Standalone,,en-US,9/27/2005,0.12987012987012986,Niche
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,10,Unknown,False,Standalone,,eng,1/28/1995,0.0,Unknown
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,16,Unknown,False,Standalone,,eng,12/20/2000,0.25,Unknown
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,10,Unknown,False,Standalone,,eng,9/22/2003,0.0,Unknown
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,17,Unknown,False,Standalone,,eng,9/28/1991,0.0,Unknown
Wrinkles in Time,George Smoot/Keay Davidson,4.01,1035,Unknown,False,Standalone,,eng,10/1/1994,0.022222222222222223,Modest
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,36,Unknown,True,A Wrinkle in Time Quintet,1.0,eng,5/1/2002,0.16666666666666666,Unknown
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,15,Unknown,False,Standalone,,eng,1/1/2002,0.0,Unknown
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,6,Unknown,False,Standalone,,spa,6/1/1984,0.16666666666666666,Unknown
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,376,Unknown,True,The Morland Dynasty,6.0,eng,6/1/1994,0.04521276595744681,Niche
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,3086,Unknown,True,Inspector Ian Rutledge,8.0,eng,1/3/2006,0.07679844458846403,Modest
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,352,Unknown,False,Standalone,,en-US,11/1/2005,0.125,Niche
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,9852,Unknown,True,Long Price Quartet,1.0,eng,3/7/2006,0.06425091352009744,Modest
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,821,Unknown,True,Hoke Mosely,2.0,eng,8/10/2004,0.09500609013398295,Niche
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,731,Unknown,False,Standalone,,eng,3/8/2005,0.09849521203830369,Niche
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,2897,Unknown,True,Hoke Moseley,1.0,eng,8/10/2004,0.06144287193648602,Modest
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,98,Unknown,False,Standalone,,eng,10/3/1990,0.11224489795918367,Unknown
I am Charlotte Simmons,Tom Wolfe,3.42,20888,Unknown,False,Standalone,,eng,8/30/2005,0.08081194944465722,Popular
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,66,Unknown,False,Standalone,,eng,10/1/2001,0.2878787878787879,Unknown
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,81,Unknown,False,Standalone,,eng,10/3/1996,0.07407407407407407,Unknown
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,981,Unknown,False,Standalone,,eng,2/1/1964,0.053007135575942915,Niche
Quiet Days in Clichy,Henry Miller,3.69,3381,Unknown,False,Standalone,,eng,1/13/1994,0.0417036379769299,Modest
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,53206,Unknown,False,Standalone,,eng,1/6/1994,0.04465661767469834,Popular
Tropic of Capricorn,Henry Miller,3.78,14872,Unknown,False,Standalone,,eng,1/13/1994,0.03086336740182894,Popular
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,3261,Unknown,True,The Rosy Crucifixion,3.0,eng,1/13/1994,0.01778595522845753,Modest
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,7805,Unknown,True,The Rosy Crucifixion,1.0,eng,1/12/1994,0.03215887251761691,Modest
The Air-Conditioned Nightmare,Henry Miller,3.83,2699,Unknown,False,Standalone,,eng,1/17/1970,0.05261207854761023,Modest
The Portrait of a Lady,Henry James/Patricia Crick,3.78,61640,Unknown,False,Standalone,,eng,9/30/2003,0.03165152498377677,Popular
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,392,Unknown,False,Standalone,,eng,1/16/2004,0.10459183673469388,Niche
Writing,Marguerite Duras,3.75,778,Unknown,False,Standalone,,eng,5/6/1999,0.056555269922879174,Niche
The War,Marguerite Duras/Barbara Bray,3.85,963,Unknown,False,Standalone,,eng,8/1/1994,0.06749740394600208,Niche
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,2057,Unknown,False,Standalone,,en-US,3/12/1986,0.06222654350996597,Modest
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,203,Unknown,False,Standalone,,eng,7/1/1999,0.03940886699507389,Niche
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,35,Unknown,False,Standalone,,eng,4/1/1998,0.05714285714285714,Unknown
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,328,Unknown,False,Standalone,,eng,1/1/1998,0.04878048780487805,Niche
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,1308,Unknown,False,Standalone,,eng,2/21/1995,0.06269113149847094,Modest
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,6432,Unknown,False,Standalone,,eng,3/3/2003,0.08037935323383084,Modest
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,3015,Unknown,False,Standalone,,eng,6/14/2011,0.07197346600331675,Modest
Treasure Island,Robert Louis Stevenson,3.83,318753,Unknown,False,Standalone,,eng,9/15/2001,0.021126075676150498,Bestseller
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,420,Unknown,False,Standalone,,en-US,10/1/2004,0.1,Niche
Treasure Island,Robert Louis Stevenson,3.83,5967,Unknown,False,Standalone,,eng,6/1/2005,0.04625439919557567,Modest
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,104,Unknown,False,Standalone,,eng,7/1/2003,0.1346153846153846,Niche
Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,56,Unknown,False,Standalone,,en-US,9/3/2002,0.07142857142857142,Unknown
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,91,Unknown,False,Standalone,,eng,1/31/2006,0.17582417582417584,Unknown
100 Years of Lynchings,Ralph Ginzburg,4.61,88,Unknown,False,Standalone,,eng,11/22/1996,0.045454545454545456,Unknown
Cien años de soledad,Gabriel García Márquez,4.07,63,Unknown,False,Standalone,,spa,1/1/1990,0.1111111111111111,Unknown
On Beyond Zebra!,Dr. Seuss,4.04,2815,Unknown,False,Standalone,,eng,9/12/1955,0.05825932504440497,Modest
The Wedding Clause,Debbie Raleigh,3.6,95,Unknown,False,Standalone,,eng,6/7/2005,0.1368421052631579,Unknown
The Zebra Wall,Kevin Henkes,3.44,217,Unknown,False,Standalone,,eng,2/15/2005,0.11059907834101383,Niche
El perfume: Historia de un asesino,Patrick Süskind,4.02,4136,Unknown,False,Standalone,,spa,6/1/2002,0.06165377176015474,Modest
The Door Into Summer,Robert A. Heinlein,4.01,17232,Unknown,False,Standalone,,eng,6/17/1997,0.03766248839368617,Popular
Stranger in a Strange Land,Robert A. Heinlein,3.92,251872,Unknown,False,Standalone,,eng,10/1/1991,0.024778458899758608,Bestseller
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,10293,Unknown,False,Standalone,,en-US,6/1/1988,0.018750607208782667,Popular
Job: A Comedy of Justice,Robert A. Heinlein,3.78,15970,Unknown,False,Standalone,,en-US,10/12/1985,0.027426424546023793,Popular
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,6898,Unknown,True,Heinlein's Juveniles,10.0,eng,8/8/2006,0.028993911278631487,Modest
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,67803,Unknown,True,Dirk Gently,2.0,en-US,2/15/1991,0.020662802530861467,Popular
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,22091,Unknown,True,Dirk Gently,3.0,eng,4/26/2005,0.03376940835634421,Popular
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,2623,Unknown,False,Standalone,,eng,12/27/2005,0.018680899733130005,Modest
Douglas Adams's Starship Titanic,Terry Jones,3.6,885,Unknown,False,Standalone,,eng,10/27/1998,0.09491525423728814,Niche
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,5,Unknown,False,Standalone,,eng,7/1/2003,0.0,Unknown
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,100,Unknown,False,Standalone,,eng,1/12/2011,0.13,Unknown
On Bullshit,Harry G. Frankfurt,3.57,9358,Unknown,False,Standalone,,eng,1/30/2005,0.10632613806368882,Modest
Another Bullshit Night in Suck City,Nick Flynn,3.78,9318,Unknown,False,Standalone,,eng,9/12/2005,0.09733848465335909,Modest
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,120,Unknown,False,Standalone,,en-US,6/12/1993,0.125,Niche
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,5239,Unknown,False,Standalone,,eng,2/2/1998,0.014506585226188204,Modest
Underworld,Don DeLillo,3.92,1505,Unknown,False,Standalone,,eng,7/9/1998,0.11627906976744186,Modest
Libra,Don DeLillo,3.99,11857,Unknown,False,Standalone,,eng,5/1/1991,0.04756683815467656,Popular
Americana,Don DeLillo,3.43,393,Unknown,False,Standalone,,eng,7/6/1989,0.13994910941475827,Niche
Running Dog,Don DeLillo,3.43,1356,Unknown,False,Standalone,,eng,7/17/1989,0.05309734513274336,Modest
Cosmopolis,Don DeLillo,3.22,460,Unknown,False,Standalone,,eng,4/6/2004,0.0891304347826087,Niche
Great Jones Street,Don DeLillo,3.48,2492,Unknown,False,Standalone,,eng,1/1/1994,0.05818619582664526,Modest
The Names,Don DeLillo,3.64,3100,Unknown,False,Standalone,,eng,7/17/1989,0.06838709677419355,Modest
Against the Day,Thomas Pynchon,4.13,5296,Unknown,False,Standalone,,eng,11/21/2006,0.11083836858006042,Modest
V.,Thomas Pynchon,3.96,1415,Unknown,False,Standalone,,eng,7/5/2005,0.12508833922261484,Modest
The Crying of Lot 49,Thomas Pynchon,3.69,2161,Unknown,False,Standalone,,eng,4/1/1999,0.1064322073114299,Modest
Gravity's Rainbow,Thomas Pynchon,4.01,762,Unknown,False,Standalone,,eng,1/1/2000,0.2795275590551181,Niche
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,8086,Unknown,False,Standalone,,eng,1/3/2004,0.07444966608953747,Modest
Vineland,Thomas Pynchon,3.69,702,Unknown,False,Standalone,,en-US,9/1/1997,0.09829059829059829,Niche
Gravity's Rainbow,Thomas Pynchon,4.01,29764,Unknown,False,Standalone,,eng,10/31/2006,0.07270528154817901,Popular
Slow Learner: Early Stories,Thomas Pynchon,3.5,334,Unknown,False,Standalone,,eng,4/30/1985,0.10179640718562874,Niche
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,2473,Unknown,False,Standalone,,eng,8/29/1996,0.08896077638495754,Modest
The Year of Magical Thinking,Joan Didion,3.89,2656,Unknown,False,Standalone,,en-US,10/4/2005,0.12650602409638553,Modest
The White Album,Joan Didion,4.17,11889,Unknown,False,Standalone,,eng,10/1/1990,0.06207418622255867,Popular
